type_id,manufacturer,model,series
A388,Airbus SAS,Airbus A380,A388
B74R,The Boeing Company,Boeing 747SR,B74R
B747,The Boeing Company,Boeing 747 family,B741
B744,The Boeing Company,"Boeing 747-400 (international, winglets)",B744
B74D,The Boeing Company,"Boeing 747-400 (domestic, no winglets)",B74D
B743,The Boeing Company,Boeing 747-300,B743
B748,The Boeing Company,Boeing 747-8,B748
B741,The Boeing Company,Boeing 747-100,B741
B742,The Boeing Company,Boeing 747-200,B742
B777,The Boeing Company,Boeing 777 family,B772
B773,The Boeing Company,Boeing 777-300,B773
B77W,The Boeing Company,Boeing 777-300ER,B77W
B779,The Boeing Company,Boeing 777-9,B779
B789,The Boeing Company,Boeing 787-9 Dreamliner,B789
B78X,The Boeing Company,Boeing 787-10 Dreamliner,B78X
A346,Airbus SAS,Airbus A340-600,A346
_MD11_1,The Boeing Company,Boeing MD-11,MD11
MD11,McDonnell Douglas,McDonnell Douglas MD-11,MD11
B772,The Boeing Company,Boeing 777-200,B772
B77L,The Boeing Company,Boeing 777-200LR,B77L
A35K,Airbus SAS,Airbus A350-1000 XWB,A35K
B788,The Boeing Company,Boeing 787-8 Dreamliner,B788
DC10,McDonnell Douglas,McDonnell Douglas DC-10,DC10
B764,The Boeing Company,Boeing 767-400,B764
B778,The Boeing Company,Boeing 777-8,B778
A345,Airbus SAS,Airbus A340-500,A345
B763,The Boeing Company,Boeing 767-300,B763
IL86,Ilyushin Aviation Complex,Ilyushin IL-86,IL86
A339,Airbus SAS,Airbus A330-900neo,A339
A333,Airbus SAS,Airbus A330-300,A333
A343,Airbus SAS,Airbus A340-300,A343
B74S,The Boeing Company,Boeing 747SP,B74S
A358,Airbus SAS,Airbus A350-800 XWB,A358
A359,Airbus SAS,Airbus A350-900 XWB,A359
IL96,Ilyushin Aviation Complex,Ilyushin IL-96,IL96
A342,Airbus SAS,Airbus A340-200,A342
AN70,Antonov,Antonov An-70,AN70
A338,Airbus SAS,Airbus A330-800neo,A338
A332,Airbus SAS,Airbus A330-200,A332
B753,The Boeing Company,Boeing 757-300,B753
A306,Airbus SAS,Airbus A300-600,A306
A30B,Airbus SAS,Airbus A300,A30B
DC8,Douglas Aircraft Company,Douglas DC-8 family,DC85
DC85,McDonnell Douglas,McDonnell Douglas DC-8-50,DC85
B762,The Boeing Company,Boeing 767-200,B762
A310,Airbus SAS,Airbus A310,A310
A21N,Airbus SAS,Airbus A321neo,A21N
B752,The Boeing Company,Boeing 757-200,B752
L101,Lockheed Corporation,Lockheed L-1011 TriStar,L101
B3JM,The Boeing Company,Boeing 737 Max 10,B3JM
B39M,The Boeing Company,Boeing 737 Max 9,B39M
B739,The Boeing Company,Boeing 737-900,B739
T214,Tupolev,Tupolev Tu-214,T204
B38M,The Boeing Company,Boeing 737 Max 8,B38M
T204,Tupolev,Tupolev Tu-204,T204
B701,The Boeing Company,Boeing 707 family,B701
B703,The Boeing Company,Boeing 707-300,B703
A321,Airbus SAS,Airbus A321,A321
A20N,Airbus SAS,Airbus A320neo,A20N
B727,The Boeing Company,Boeing 727 family,B721
B722,The Boeing Company,Boeing 727-200,B722
B738,The Boeing Company,Boeing 737-800,B738
IL62,Ilyushin Aviation Complex,Ilyushin IL-62,IL62
T154,Tupolev,Tupolev Tu-154,T154
_MD81_1,The Boeing Company,Boeing MD-81,MD81
_MD82_1,The Boeing Company,Boeing MD-82,MD82
_MD82_2,Shanghai Aircraft Manufacturing Factory,Shanghai MD-82,MD82
_MD83_1,The Boeing Company,Boeing MD-83,MD83
_MD83_2,Shanghai Aircraft Manufacturing Factory,Shanghai MD-83,MD83
_MD88_1,The Boeing Company,Boeing MD-88,MD88
_MD90_1,The Boeing Company,Boeing MD-90,MD90
_MD90_2,Shanghai Aircraft Manufacturing Factory,Shanghai MD-90,MD90
B37M,The Boeing Company,Boeing 737 Max 7,B37M
MD81,McDonnell Douglas,McDonnell Douglas MD-80 family,MD81
MD82,McDonnell Douglas,McDonnell Douglas MD-82,MD82
MD83,McDonnell Douglas,McDonnell Douglas MD-83,MD83
MD88,McDonnell Douglas,McDonnell Douglas MD-88,MD88
MD90,McDonnell Douglas,McDonnell Douglas MD-90 family,MD90
CC137,The Boeing Company,Boeing CC-137,B701
C919,Commercial Aircraft Corporation of China Ltd,Comac C919,C919
B734,The Boeing Company,Boeing 737-400,B734
A320,Airbus SAS,Airbus A320,A320
A19N,Airbus SAS,Airbus A319neo,A19N
BCS3,Bombardier Inc,Airbus A220-300,BCS3
CL44,Canadair Ltd,Canadair CL-44,CL44
_VC10_1,BAC (British Aircraft Corporation),BAC VC-10,VC10
VC10,Vickers Limited,Vickers VC10,VC10
B721,The Boeing Company,Boeing 727-100,B721
B733,The Boeing Company,Boeing 737-300,B733
B737,The Boeing Company,Boeing 737-700,B737
B720,The Boeing Company,Boeing 720,B720
T144,Tupolev,Tupolev Tu-144,T144
_MD87_1,The Boeing Company,Boeing MD-87,MD87
MD87,McDonnell Douglas,McDonnell Douglas MD-87,MD87
B732,The Boeing Company,Boeing 737-200,B732
DC9,McDonnell Douglas,McDonnell Douglas DC-9 family,DC91
_DC95_1,McDonnell Douglas,McDonnell Douglas DC-9-50,DC95
DC95,Douglas Aircraft Company,Douglas DC-9-50,DC95
_C17_1,McDonnell Douglas,McDonnell Douglas C-17 Globemaster 3,C17
A319,Airbus SAS,Airbus A319,A319
C17,The Boeing Company,Boeing C-17 Globemaster III,C17
BCS1,Bombardier Inc,Airbus A220-100,BCS1
MARS,Glenn L. Martin Company,Martin JRM Mars,MARS
B735,The Boeing Company,Boeing 737-500,B735
B736,The Boeing Company,Boeing 737-600,B736
C15,McDonnell Douglas,McDonnell Douglas YC-15,C15
_DC94_1,McDonnell Douglas,McDonnell Douglas DC-9-40,DC94
DC94,Douglas Aircraft Company,Douglas DC-9-40,DC94
B731,The Boeing Company,Boeing 737-100,B731
E195,Embraer (Empresa Brasileira de Aeronáutica SA),Embraer E195,E195
C40,The Boeing Company,Boeing C-40 Clipper,B737
IL18,Ilyushin Aviation Complex,Ilyushin IL-18,IL18
YK42,Yak Aircraft Corporation,Yakovlev Yak-42,YK42
A318,Airbus SAS,Airbus A318,A318
B712,The Boeing Company,Boeing 717-200,B712
A400,Airbus SAS,Airbus A400M Atlas,A400
_DC93_1,McDonnell Douglas,McDonnell Douglas DC-9-30,DC93
DC93,Douglas Aircraft Company,Douglas DC-9-30,DC93
E190,Embraer (Empresa Brasileira de Aeronáutica SA),Embraer E190,E190
E4,The Boeing Company,Boeing E-4 Advanced Airborne Command Post,B742
_RJ85_1,Aero International,Ai(R) RJ-85 Avroliner,RJ85
_RJ85_2,BAE Systems,Bae Systems Avro RJ-85,RJ85
_RJ85_3,Britisch Aerospace (BAe),British Aerospace RJ-85,RJ85
B462,Britisch Aerospace (BAe),British Aerospace BAe-146-200,B462
RJ85,Avro (A.V.Roe & Company),Avro RJ-85 Avroliner,RJ85
F100,Fokker,Fokker 100,F100
_AJ27_1,AVIC I Commercial Aircraft Company Ltd,ACAC ARJ-21,AJ27
AJ27,Commercial Aircraft Corporation of China Ltd,Comac ARJ21 Xiangfeng,AJ27
DC7,Douglas Aircraft Company,Douglas DC-7,DC7
SU95,Sukhoi Company (JSC),Sukhoi Superjet 100,SU95
DC6,Douglas Aircraft Company,Douglas DC-6,DC6
T334,Tupolev,Tupolev Tu-334,T334
CONC,Aérospatiale,Aérospatiale-BAC Concorde,CONC
_RJ1H_1,Aero International,Ai(R) RJ-100 Avroliner,RJ1H
_RJ1H_2,BAE Systems,Bae Systems Avro RJ-100,RJ1H
_RJ1H_3,Britisch Aerospace (BAe),British Aerospace RJ-100,RJ1H
B463,Britisch Aerospace (BAe),British Aerospace BAe-146-300,B463
CRJX,Bombardier Inc,Bombardier CRJ1000,CRJX
RJ1H,Avro (A.V.Roe & Company),Avro RJ-100 Avroliner,RJ1H
A158,Antonov,Antonov An-158,A158
L188,Lockheed Corporation,Lockheed L-188 Electra,L188
_BA11_1,Britisch Aerospace (BAe),British Aerospace BAC-111 One-Eleven,BA11
_BA11_2,Intreprinderea de Avioane Bucuresti,Bucuresti Rombac 1-11 One-Eleven,BA11
BA11,BAC (British Aircraft Corporation),BAC 111 One-Eleven,BA11
CONI,Lockheed Corporation,Lockheed Constellation,CONI
_RJ70_1,Aero International,Ai(R) RJ-70 Avroliner,RJ70
_RJ70_2,BAE Systems,Bae Systems Avro RJ-70,RJ70
_RJ70_3,Britisch Aerospace (BAe),British Aerospace RJ-70,RJ70
B461,Britisch Aerospace (BAe),British Aerospace BAe-146-100 Statesman,B461
RJ70,Avro (A.V.Roe & Company),Avro RJ-70 Avroliner,RJ70
C160,Arbeitsgemeinschaft Transall,Transall C-160,C160
C30J,Lockheed Martin,Lockheed Martin C-130J Super Hercules,C30J
_DC91_1,McDonnell Douglas,McDonnell Douglas DC-9-10,DC91
_DC92_1,McDonnell Douglas,McDonnell Douglas DC-9-20,DC92
CRJ9,Canadair Ltd,Canadair CRJ900,CRJ9
DC91,Douglas Aircraft Company,Douglas DC-9-10,DC91
DC92,Douglas Aircraft Company,Douglas DC-9-20,DC92
MI26,Mil Moscow Helicopter Plant,Mil Mi-26,MI26
MI6,Mil Moscow Helicopter Plant,Mil Mi-6,MI6
E75L,Embraer (Empresa Brasileira de Aeronáutica SA),Embraer E175 (long wing),E75L
E75S,Embraer (Empresa Brasileira de Aeronáutica SA),Embraer E175 (short wing),E75S
MRJ9,Mitsubishi Heavy Industries,Mitsubishi MRJ-90,MRJ9
CRJ7,Canadair Ltd,Canadair CRJ700,CRJ7
DC4,Douglas Aircraft Company,Douglas DC-4,DC4
A148,Antonov,Antonov An-148,A148
CARV,Aviation Traders,Aviation Traders ATL-98 Carvair,CARV
_YS11_1,Mitsubishi Heavy Industries,Mitsubishi YS-11,YS11
T134,Tupolev,Tupolev Tu-134,T134
YS11,Nihon Aeroplane Manufacturing Company Ltd,NAMC YS-11,YS11
_S210_1,Aérospatiale,Aerospatiale SE-210 Caravelle,S210
_S210_2,Sud-Est Aviation,Sud-Est SE-210 Caravelle,S210
E170,Embraer (Empresa Brasileira de Aeronáutica SA),Embraer E170,E170
J728,Fairchild Aerospace Corporation,Fairchild Dornier 728JET,J728
S210,Sud Aviation,Sud Aviation SE 210 Caravelle,S210
F70,Fokker,Fokker F70,F70
AT72,ATR (Avions de Transport Régional),ATR 72,AT72
DH8D,de Havilland Aircraft of Canada Ltd,de Havilland Canada DHC-8-400 Dash 8,DH8D
MC130,Lockheed Corporation,Lockheed MC-130,C130
MDC9,McDonnell Douglas,McDonnell Douglas C-9,DC91
MRJ7,Mitsubishi Heavy Industries,Mitsubishi MRJ-70,MRJ7
VISC,Vickers Limited,Vickers Viscount,VISC
C295,Construcciones Aeronáuticas SA (CASA),EADS CASA C-295,C295
N250,PT Industri Pesawat Terbang Nusantara,Nusantara N-250,N250
C119,Fairchild Aircraft,Fairchild C-119 Flying Boxcar,C119
F28,Fokker,Fokker F28 Fellowship,F28
_ATP_1,Jetstream Aircraft Ltd,Jetstream 61,ATP
ATP,Britisch Aerospace (BAe),British Aerospace ATP,ATP
I114,Ilyushin Aviation Complex,Ilyushin IL-114,I114
_B737_1,The Boeing Company,Boeing Business Jet,B737
C123,Fairchild Aircraft,Fairchild C-123 Provider,C123
C46,Curtiss-Wright Corporation,Curtiss-Wright C-46 Commando,C46
C1,Kawasaki Heavy Industries Aerospace Company,Kawasaki C-1,C1
C27J,Alenia Aeronautica,Alenia C-27J Spartan,C27J
MA60,Xi'an Aircraft Industrial Corporation,Xian MA60,MA60
_A748_1,Avro (A.V.Roe & Company),Avro 748,A748
_A748_2,Britisch Aerospace (BAe),British Aerospace BAe-748,A748
_A748_3,Aeronautics India Ltd,AIL 748,A748
_A748_4,Hindustan Aeronautics Limited (HAL),Hindustan 748,A748
_A748_5,"Indian Air Force, Aircraft Manufacturing Depot",Kanpur 748,A748
A748,Hawker Siddeley,Hawker Siddeley HS.748,A748
F50,Fokker,Fokker 50,F50
SB20,Saab AB,Saab 2000,SB20
DH8C,de Havilland Aircraft of Canada Ltd,de Havilland Canada DHC-8-300 Dash 8,DH8C
_H47_1,IMAM (Industrie Meccaniche e Aeronautiche Meridionali),Meridionali CH-47 Chinook,H47
_H47_2,Kawasaki Heavy Industries Aerospace Company,Kawasaki CH-47 Chinook,H47
_H47_3,The Boeing Company,Boeing CH-47 Chinook,H47
H47,Boeing Vertol Company,Boeing Vertol CH-47 Chinook,H47
DHC7,de Havilland Aircraft of Canada Ltd,de Havilland Canada DHC-7 Dash 7,DHC7
_A140_1,Iran Aircraft Manufacturing Industrial Company (HESA),HESA IRAN-140 Faraz,A140
_AN24_1,Xi'an Aircraft Industrial Corporation,Xian Y-7E,AN24
_F27_1,Conair Aviation Ltd,Conair F-27 Firefighter,F27
_F27_2,Fairchild Aircraft,Fairchild F-27,F27
_F27_3,Fairchild Hiller Corporation,Fairchild Hiller F-27,F27
A140,Antonov,Antonov An-140,A140
A743,Antonov,Antonov An-74-300,A743
AN24,Antonov,Antonov An-24,AN24
AN72,Antonov,Antonov An-72,AN72
F27,Fokker,Fokker F27 Friendship,F27
DC54,Douglas Aircraft Company,Douglas C-54 Skymaster,DC4
_CRJ1_1,Canadair Ltd,Canadair Regional Jet CRJ-100,CRJ1
_E145_1,Harbin Embraer Aircraft Industry Company Ltd,Harbin Embraer ERJ-145LI,E145
AN32,Antonov,Antonov An-32 Sutlej,AN32
AT43,ATR (Avions de Transport Régional),ATR 42,AT43
CRJ1,Bombardier Inc,Bombardier CRJ100,CRJ1
CRJ2,Canadair Ltd,Canadair CRJ200,CRJ2
E145,Embraer (Empresa Brasileira de Aeronáutica SA),Embraer ERJ 145,E145
E45X,Embraer (Empresa Brasileira de Aeronáutica SA),Embraer ERJ 145XR,E45X
AN8,Antonov,Antonov An-8,AN8
C32,The Boeing Company,Boeing C-32,B752
_NORA_1,Flugzeugbau Nord GmbH,Nordflug 2501 Noratlas,NORA
NORA,Nord Aviation,Nord 2501 Noratlas,NORA
_CN35_1,Aircraft Technology Industries,CN-235 Persuader,CN35
_CN35_2,Indonesian Aerospace (IAe),Dirgantara CN-235,CN35
_CN35_3,PT Industri Pesawat Terbang Nurtanio,Nurtanio CN-235,CN35
_CN35_4,PT Industri Pesawat Terbang Nusantara,Nusantara CN-235,CN35
_CN35_5,Turkish Aerospace Industries Inc,TAI CN-235 Persuader,CN35
CN35,Construcciones Aeronáuticas SA (CASA),CASA CN-235,CN35
VF14,VFW-Fokker GmbH,VFW-Fokker 614,VF14
C82,Fairchild Aircraft,Fairchild C-82 Packet,C82
_AN26_1,Xi'an Aircraft Industrial Corporation,Xian Y-7H,AN26
_CVLT_1,Canadair Ltd,Canadair CC-109 Cosmopolitan,CVLT
_CVLT_2,Kelowna Flightcraft Group,Kelowna CV-5800,CVLT
AN26,Antonov,Antonov An-26,AN26
CVLP,Convair,Convair CV 240 - CV 440,CVLP
CVLT,Convair,Convair C-131 Samaritan,CVLT
L610,Let Kunovice,Let L-610,L610
M404,Glenn L. Martin Company,Martin 4-0-4,M404
DH8A,de Havilland Aircraft of Canada Ltd,de Havilland Canada DHC-8-100 Dash 8,DH8A
DH8B,de Havilland Aircraft of Canada Ltd,de Havilland Canada DHC-8-200 Dash 8,DH8B
_DC3T_1,Basler Turbo Conversions Inc,Basler BT-67 Turbo 67,DC3T
_H53_1,VFW-Fokker GmbH,Vfw CH-53G,H53
H53,Sikorsky Aircraft Corporation,Sikorsky CH-53 Sea Stallion,H53
_SF34_1,- see SAAB and FAIRCHILD,Saab-Fairchild SF-340,SF34
E135,Embraer (Empresa Brasileira de Aeronáutica SA),Embraer ERJ 135,E135
H53S,Sikorsky Aircraft Corporation,Sikorsky CH-53E Super Stallion,H53S
SF34,Saab AB,Saab 340,SF34
SH36,Short Brothers plc,Short 360,SH36
_J328_1,Fairchild Aerospace Corporation,Fairchild Dornier 328JET Envoy 3,J328
_J328_2,328 Support Services GmbH,328 Support Services Dornier 328JET,J328
_J328_3,AvCraft Aviation,Avcraft Dornier 328JET,J328
_J328_4,RUAG Aerospace,Ruag Dornier 328 JET Envoy,J328
J328,Fairchild Aircraft,Fairchild Dornier 328JET,J328
_D328_1,Fairchild Aerospace Corporation,Fairchild Dornier 328,D328
D328,Dornier Flugzeugwerke,Dornier 328,D328
_DC3T_2,Professional Aviation Services Pty Ltd,Professional Aviation Jet Prop DC-3,DC3T
_DC3T_3,Schafer Aircraft Modifications Inc,Schafer DC-3-65TP,DC3T
DC3,Douglas Aircraft Company,Douglas DC-3,DC3
DC3S,Douglas Aircraft Company,Douglas Super DC-3,DC3S
DC3T,Douglas Aircraft Company,Douglas DC-3 (turbine),DC3T
MI38,Mil Moscow Helicopter Plant,Mil Mi-38,MI38
YK40,Yak Aircraft Corporation,Yakovlev Yak-40,YK40
US2,"ShinMaywa Industries, Ltd",Shinmaywa US-2,US2
_E120_1,Industria Aeronáutica Neiva SA,Neiva EMB-120 Brasilia,E120
_JS41_1,Aero International,Ai(R) BAe-4100 Jetstream 41,JS41
_JS41_2,Jetstream Aircraft Ltd,Jetstream BAe-4100 Jetstream 41,JS41
_MI8_1,Mil Moscow Helicopter Plant,Mil Mi-17,MI8
E120,Embraer (Empresa Brasileira de Aeronáutica SA),Embraer EMB-120 Brasilia,E120
JS41,Britisch Aerospace (BAe),Jetstream 41,JS41
SH33,Short Brothers plc,Short 330,SH33
SU80,Sukhoi Company (JSC),Sukhoi Su-80,SU80
_US1_1,Shin Meiwa Industry Company Ltd,Shin Meiwa US-1,US1
AN22,Antonov,Antonov An-22 Antheus,AN22
N262,Nord Aviation,Nord 262 Frégate,N262
US1,"ShinMaywa Industries, Ltd",Shinmaywa US-1,US1
DC47,Douglas Aircraft Company,Douglas C-47 Skytrain,DC3
_IL14_1,AVIA Motors,Avia Av-14,IL14
_IL14_2,Vereinigung Volkseigener Betriebe Flugzeugbau Dresden,Veb Il-14,IL14
_S61R_1,Agusta,Agusta AS-61R,S61R
IL14,Ilyushin Aviation Complex,Ilyushin IL-14,IL14
MI10,Mil Moscow Helicopter Plant,Mil Mi-10,MI10
S61R,Sikorsky Aircraft Corporation,Sikorsky S-61R,S61R
_FREL_1,Changhe Aircraft Industries Corporation,Changhe Z-8,FREL
_FREL_2,Sud Aviation,Sud SA-321 Super Frelon,FREL
AC33,AVIC Helicopter Company,Avicopter AC313,AC33
AN38,Antonov,Antonov An-38,AN38
FREL,Aérospatiale,Aerospatiale SA321 Super Frelon,FREL
R135,The Boeing Company,Boeing RC-135,R135
VC25,The Boeing Company,Boeing VC-25,B742
_C212_1,Indonesian Aerospace (IAe),Dirgantara NC-212 Aviocar,C212
_C212_2,PT Industri Pesawat Terbang Nurtanio,Nurtanio NC-212 Aviocar,C212
_C212_3,PT Industri Pesawat Terbang Nusantara,Nusantara NC-212 Aviocar,C212
C2,Grumman Aerospace Corporation,Grumman C-2 Greyhound,C2
C212,Construcciones Aeronáuticas SA (CASA),EADS CASA C-212 Aviocar,C212
_H46_1,Kawasaki Heavy Industries Aerospace Company,Kawasaki KV-107,H46
_H46_2,Vertol Aircraft Company,Vertol 107,H46
E6,The Boeing Company,Boeing E-6 Mercury,E6
H46,Boeing Vertol Company,Boeing Vertol CH-46 Sea Knight,H46
H225,Airbus Helicopters,Airbus Helicopters H225,EC25
LI2,GAZ (Gorkovsky Avtomobilny Zavod),Lisunov Li-2,DC3
_EH10_1,EH Industries Ltd,EHI EH-101 Merlin,EH10
_EH10_2,Kawasaki Heavy Industries Aerospace Company,Kawasaki MCH-101,EH10
ARVA,Israel Aerospace Industries (IAI),IAI 101 Arava,ARVA
EC25,Eurocopter Group ,Eurocopter EC225 Super Puma,EC25
EH10,AgustaWestland,AgustaWestland AW101,EH10
G159,Grumman Aerospace Corporation,Grumman G-159 Gulfstream 1,G159
MI8,Mil Moscow Helicopter Plant,Mil Mi-8,MI8
BU20,Aircraft Hydro-Forming Inc,Aircraft Hydro-Forming Bushmaster 2000,BU20
N260,Nord Aviation,Nord 260 Super Broussard,N260
EP3,Lockheed Corporation,Lockheed EP-3,P3
_B703_1,Grumman Aerospace Corporation,Grumman E-8 Joint STARS,B703
_B703_3,Northrop Grumman Corporation,Northrop Grumman E-8 Joint STARS,B703
SAND,Short Brothers plc,Short S-25 Sandringham,SAND
_L410_1,Aircraft Industries AS,Aircraft Industries L-410 Turbolet,L410
_SW4_1,Fairchild Aircraft,Fairchild Merlin 4,SW4
_SW4_2,Fairchild Swearingen Corporation,Fairchild Swearingen Merlin 4,SW4
_SW4_3,Fairchild Aerospace Corporation,Fairchild Dornier Merlin 4,SW4
L410,Let Kunovice,Let L-410 Turbolet,L410
SW4,Swearingen Aircraft,Swearingen SA-227 Merlin 4,SW4
ACH149,AgustaWestland,AgustaWestland CH-149 Cormorant,EH10
H215M,Airbus Helicopters,Airbus Helicopters H215M,AS3B
_AS3B_1,Aérospatiale,Aerospatiale AS-532U2 Cougar Mk2,AS3B
_DHC6_1,Scenic Aviation Services,Scenic DHC-6 Vistaliner,DHC6
_DHC6_2,Viking Air Ltd,Viking DHC-6 Twin Otter,DHC6
_NH90_1,Australian Aerospace Pty Ltd,Australian Aerospace MRH-90,NH90
_NH90_2,Patria Aviation OY,Patria NH-90,NH90
AS3B,Eurocopter Group ,Eurocopter AS532 Cougar,AS3B
B525,Bell Helicopter,Bell 525 Relentless,B525
DHC6,de Havilland Aircraft of Canada Ltd,de Havilland Canada DHC-6 Twin Otter,DHC6
H21,Vertol Aircraft Company,Vertol CH-21 Work Horse,H21
NH90,NHIndustries,NHIndustries NH90,NH90
EM1K,Embraer (Empresa Brasileira de Aeronáutica SA),Embraer Lineage 1000,E190
GLF5A,Gulfstream Aerospace Corporation,Gulfstream V (C-37A),GLF5
H215,Airbus Helicopters,Airbus Helicopters H215,AS32
_AS32_1,Aérospatiale,Aerospatiale AS-332B Super Puma,AS32
_AS32_2,Atlas Aircraft Corporation,Atlas SA-330 Oryx,AS32
_AS32_3,Construcciones Aeronáuticas SA (CASA),CASA AS-332 Super Puma,AS32
_AS32_4,Indonesian Aerospace (IAe),Dirgantara NAS-332 Super Puma,AS32
_AS32_5,PT Industri Pesawat Terbang Nurtanio,Nurtanio NAS-332 Super Puma,AS32
_AS32_6,PT Industri Pesawat Terbang Nusantara,Nusantara NAS-332 Super Puma,AS32
_AS32_7,RUAG Aerospace,RUAG AS-532 Cougar,AS32
_AS32_8,Singapore Aerospace Ltd,Singapore AS-332 Super Puma,AS32
_AS32_9,Swiss Aircraft and Systems Enterprise Corporation,Sf AS-532 Cougar,AS32
_AS32_A,Turkish Aerospace Industries Inc,TAI AS-532 Cougar,AS32
_B190_1,Raytheon Aircraft Company,Raytheon 1900,B190
_CL60_1,Canadair Ltd,Canadair CL-600 Challenger 600,CL60
_D228_1,Fairchild Aerospace Corporation,Fairchild Dornier 228,D228
_D228_2,Hindustan Aeronautics Limited (HAL),Hindustan 228,D228
_D228_3,RUAG Aerospace,Ruag Dornier 228,D228
_GLEX_1,Raytheon Aircraft Company,Raytheon Sentinel,GLEX
_GLF2_1,Grumman Aerospace Corporation,Grumman G-1159 Gulfstream 2,GLF2
_GLF2_2,Grumman American Aviation Corporation,Grumman American G-1159 Gulfstream 2,GLF2
_GLF3_1,Gulfstream American Corporation,Gulfstream American G-1159A Gulfstream 3,GLF3
_JS1_1,Jetstream Aircraft Ltd,Jetstream Jetstream 1,JS1
_JS32_1,Britisch Aerospace (BAe),British Aerospace Jetstream Super 31,JS32
A189,AgustaWestland,AgustaWestland AW189,A189
AS32,Eurocopter Group ,Eurocopter AS332 Super Puma,AS32
B190,Beech Aircraft,Beechcraft 1900,B190
C08T,Soloy Conversions Ltd,Soloy 208 Pathfinder 21,C08T
CL60,Bombardier Inc,Bombardier Challenger 600,CL60
D228,Dornier Flugzeugwerke,Dornier Do 228,D228
F900,Dassault Aviation,Dassault Falcon 900,F900
FA8X,Dassault Aviation,Dassault Falcon 8X,FA8X
GA5C,Gulfstream Aerospace Corporation,Gulfstream G-7 G500,GA5C
GA6C,Gulfstream Aerospace Corporation,Gulfstream G-7 G600,GA6C
GL5T,Bombardier Inc,Bombardier BD-700 Global 5000,GL5T
GLEX,Bombardier Inc,Bombardier Global Express,GLEX
GLF2,Gulfstream American Corporation,Gulfstream American G-1159 Gulfstream 2,GLF2
GLF3,Gulfstream Aerospace Corporation,Gulfstream Aerospace G-1159A Gulfstream 3,GLF3
GLF4,Gulfstream Aerospace Corporation,Gulfstream G350/400/450 (GIV/GIVSP),GLF4
GLF5,Gulfstream Aerospace Corporation,"Gulfstream G550 (C-37B, GVSP)",GLF5
JS1,Handley Page Limited,Handley Page HP.137 Jetstream,JS1
JS31,Britisch Aerospace (BAe),British Aerospace Jetstream 31,JS31
M28,Polskie Zaklady Lotnicze Sp z oo,PZL-Mielec M-28 Skytruck,M28
S92,Sikorsky Aircraft Corporation,Sikorsky S-92,S92
SC7,Short Brothers plc,Short SC.7 Skyvan,SC7
WG30,Westland Aircraft,Westland WG-30,WG30
_AN28_1,Polskie Zaklady Lotnicze Sp z oo,PZL An-28 Bryza,AN28
_EC75_1,- see EUROCOPTER and HARBIN,AIRBUS HELICOPTERS-HARBIN EC-175,EC75
_GALX_1,Israel Aerospace Industries (IAI),IAI 1126 Galaxy,GALX
_JU52_1,Construcciones Aeronáuticas SA (CASA),CASA 352,JU52
_L18_1,Howard Aero Inc,Howard 250,L18
_L18_2,Lear Inc,Lear Learstar,L18
_L18_3,PacAero Engineering Corporation,Pacaero Learstar,L18
_TRIS_1,Anglo Normandy Aero Engineering,BN-2A Mk3 Trislander,TRIS
_TRIS_2,Avions Fairey SA,BN-2A Mk3 Trislander,TRIS
_TRIS_3,Pilatus Britten-Norman Ltd,BN-2A Mk3 Trislander,TRIS
A149,AgustaWestland,AgustaWestland AW149,A149
AN28,Antonov,Antonov An-28,AN28
CL2P,Canadair Ltd,Canadair CL-215 Scooper,CL2P
E110,Embraer (Empresa Brasileira de Aeronáutica SA),Embraer EMB-110 Bandeirante,E110
EC75,- see AIRBUS HELICOPTERS and HARBIN,AIRBUS HELICOPTERS-HARBIN EC-175,EC75
GALX,Gulfstream Aerospace Corporation,Gulfstream G200 (IAI Galaxy),GALX
GLF6,Gulfstream Aerospace Corporation,Gulfstream G660,GLF6
L18,Lockheed Corporation,Lockheed 18 Lodestar,L18
SURN,Korea Aerospace Industries Ltd. (KAI),KAI Surion,SURN
TRIS,Britten-Norman (B-N Group),Britten-Norman BN-2A Mk III Trislander,TRIS
_G73T_1,Frakes Aviation Inc,Frakes G-73T Turbo Mallard,G73T
BSTP,Bell Helicopter,Bell 214ST,BSTP
G73,Grumman Aerospace Corporation,Grumman G-73 Mallard,G73
G73T,Grumman Aerospace Corporation,Grumman G-73T Turbo Mallard,G73T
JU52,Junkers & Co,Junkers Ju 52,JU52
Y12,Harbin Aircraft Manufacturing Corporation (HAMC),Harbin Y-12,Y12
Y12F,Harbin Aircraft Manufacturing Corporation (HAMC),Harbin Y-12F Aircar,Y12F
KA29,Kamov,Kamov Ka-29,KA27
_MI4_1,Harbin Aircraft Manufacturing Corporation (HAMC),Harbin Z-5 Xuanfeng,MI4
_PUMA_1,IAR (Industria Aeronautică Română),IAR-330 Puma,PUMA
_PUMA_2,Intreprinderea de Constructii Aeronautice,IAR-330 Puma,PUMA
_PUMA_3,PT Industri Pesawat Terbang Nurtanio,Nurtanio NSA-330 Puma,PUMA
_PUMA_4,Sud Aviation,Sud SA-330 Puma,PUMA
_PUMA_5,Westland Aircraft,Westland Puma,PUMA
_S58P_1,Sud Aviation,Sud S-58,S58P
BE32,Beriev Aircraft Company,Beriev Be-32,BE32
CL30,Bombardier Inc,Bombardier BD-100 Challenger 300,CL30
